crime_head,category,year,cases,crime_rate,ipc_cases,bns_cases,share_pct,source_table
Murder,IPC,2022,,,,,,table_1.2.xlsx
Murder,IPC,2023,,,,,,table_1.2.xlsx
Murder,IPC,2024,14440.0,12487.0,14440.0,12487.0,0.8,table_1.2.xlsx
Murder by Group of 5 or more persons,IPC,2022,,,,,,table_1.2.xlsx
Murder by Group of 5 or more persons,IPC,2023,,,,,,table_1.2.xlsx
Murder by Group of 5 or more persons,IPC,2024,0.0,112.0,0.0,112.0,0.0,table_1.2.xlsx
Murder by life convict,IPC,2022,,,,,,table_1.2.xlsx
Murder by life convict,IPC,2023,,,,,,table_1.2.xlsx
Murder by life convict,IPC,2024,0.0,10.0,0.0,10.0,0.0,table_1.2.xlsx
Culpable Homicide not amounting to Murder,IPC,2022,3621.0,0.3,,,,table_1.2.xlsx
Culpable Homicide not amounting to Murder,IPC,2023,3557.0,0.3,,,,table_1.2.xlsx
Culpable Homicide not amounting to Murder,IPC,2024,2075.0,1793.0,2075.0,1793.0,0.1,table_1.2.xlsx
Causing Death by Negligence,IPC,2022,159096.0,11.5,,,,table_1.2.xlsx
Causing Death by Negligence,IPC,2023,165971.0,11.9,,,,table_1.2.xlsx
Causing Death by Negligence,IPC,2024,89784.0,79709.0,89784.0,79709.0,4.8,table_1.2.xlsx
Deaths due to Negligence relating to Road Accidents,IPC,2022,150998.0,10.9,,,,table_1.2.xlsx
Deaths due to Negligence relating to Road Accidents,IPC,2023,157831.0,11.3,,,,table_1.2.xlsx
Deaths due to Negligence relating to Road Accidents,IPC,2024,86373.0,76127.0,86373.0,76127.0,4.6,table_1.2.xlsx
Hit and Run,IPC,2022,47806.0,3.5,,,,table_1.2.xlsx
Hit and Run,IPC,2023,51780.0,3.7,,,,table_1.2.xlsx
Hit and Run,IPC,2024,29169.0,24061.0,29169.0,24061.0,1.5,table_1.2.xlsx
Other Accidents,IPC,2022,103192.0,7.5,,,,table_1.2.xlsx
Other Accidents,IPC,2023,106051.0,7.6,,,,table_1.2.xlsx
Other Accidents,IPC,2024,57204.0,52066.0,57204.0,52066.0,3.1,table_1.2.xlsx
Deaths due to Negligence relating to Rail Accidents,IPC,2022,19.0,0.0,,,,table_1.2.xlsx
Deaths due to Negligence relating to Rail Accidents,IPC,2023,7.0,0.0,,,,table_1.2.xlsx
Deaths due to Negligence relating to Rail Accidents,IPC,2024,20.0,194.0,20.0,194.0,0.0,table_1.2.xlsx
Deaths due to Medical Negligence,IPC,2022,118.0,0.0,,,,table_1.2.xlsx
Deaths due to Medical Negligence,IPC,2023,114.0,0.0,,,,table_1.2.xlsx
Deaths due to Medical Negligence,IPC,2024,82.0,787.0,82.0,787.0,0.0,table_1.2.xlsx
Deaths due to Negligence of Civic Bodies,IPC,2022,70.0,0.0,,,,table_1.2.xlsx
Deaths due to Negligence of Civic Bodies,IPC,2023,60.0,0.0,,,,table_1.2.xlsx
Deaths due to Negligence of Civic Bodies,IPC,2024,16.0,38.0,16.0,38.0,0.0,table_1.2.xlsx
Deaths due to other Negligence,IPC,2022,7891.0,0.6,,,,table_1.2.xlsx
Deaths due to other Negligence,IPC,2023,7959.0,0.6,,,,table_1.2.xlsx
Deaths due to other Negligence,IPC,2024,3293.0,2563.0,3293.0,2563.0,0.2,table_1.2.xlsx
Abetment of Suicide,IPC,2022,9400.0,0.7,,,,table_1.2.xlsx
Abetment of Suicide,IPC,2023,9386.0,0.7,,,,table_1.2.xlsx
Abetment of Suicide,IPC,2024,4843.0,4050.0,4843.0,4050.0,0.3,table_1.2.xlsx
Attempt to Commit Murder,IPC,2022,57256.0,4.1,,,,table_1.2.xlsx
Attempt to Commit Murder,IPC,2023,56549.0,4.1,,,,table_1.2.xlsx
Attempt to Commit Murder,IPC,2024,30998.0,27846.0,30998.0,27846.0,1.7,table_1.2.xlsx
Attempt to commit Culpable Homicide,IPC,2022,10149.0,0.7,,,,table_1.2.xlsx
Attempt to commit Culpable Homicide,IPC,2023,11954.0,0.9,,,,table_1.2.xlsx
Attempt to commit Culpable Homicide,IPC,2024,7111.0,6274.0,7111.0,6274.0,0.4,table_1.2.xlsx
Organised Crime,IPC,2022,,,,,,table_1.2.xlsx
Organised Crime,IPC,2023,,,,,,table_1.2.xlsx
Organised Crime,IPC,2024,0.0,840.0,0.0,840.0,0.0,table_1.2.xlsx
Petty Organised Crime,IPC,2022,,,,,,table_1.2.xlsx
Petty Organised Crime,IPC,2023,,,,,,table_1.2.xlsx
Petty Organised Crime,IPC,2024,0.0,876.0,0.0,876.0,0.0,table_1.2.xlsx
Terrorist Act,IPC,2022,,,,,,table_1.2.xlsx
Terrorist Act,IPC,2023,,,,,,table_1.2.xlsx
Terrorist Act,IPC,2024,0.0,24.0,0.0,24.0,0.0,table_1.2.xlsx
Hurt,IPC,2022,627676.0,45.5,,,,table_1.2.xlsx
Hurt,IPC,2023,636767.0,45.7,,,,table_1.2.xlsx
Hurt,IPC,2024,257353.0,184643.0,257353.0,184643.0,12.5,table_1.2.xlsx
Simple Hurt,IPC,2022,518792.0,37.6,,,,table_1.2.xlsx
Simple Hurt,IPC,2023,537179.0,38.6,,,,table_1.2.xlsx
Simple Hurt,IPC,2024,186313.0,0.0,186313.0,0.0,5.3,table_1.2.xlsx
Voluntarily Causing Simple Hurt,IPC,2022,308238.0,22.3,,,,table_1.2.xlsx
Voluntarily Causing Simple Hurt,IPC,2023,325028.0,23.3,,,,table_1.2.xlsx
Voluntarily Causing Simple Hurt,IPC,2024,,,,,,table_1.2.xlsx
Voluntarily causing hurt by Dangerous weapons or means,IPC,2022,177933.0,12.9,,,,table_1.2.xlsx
Voluntarily causing hurt by Dangerous weapons or means,IPC,2023,180866.0,13.0,,,,table_1.2.xlsx
Voluntarily causing hurt by Dangerous weapons or means,IPC,2024,161438.0,0.0,161438.0,0.0,4.6,table_1.2.xlsx
Voluntarily Causing hurt/Force to deter public servant from his duty,IPC,2022,13969.0,1.0,,,,table_1.2.xlsx
Voluntarily Causing hurt/Force to deter public servant from his duty,IPC,2023,13488.0,1.0,,,,table_1.2.xlsx
Voluntarily Causing hurt/Force to deter public servant from his duty,IPC,2024,6967.0,0.0,6967.0,0.0,0.2,table_1.2.xlsx
Causing Hurt by act endangering life/safety of others,IPC,2022,10160.0,0.7,,,,table_1.2.xlsx
Causing Hurt by act endangering life/safety of others,IPC,2023,8408.0,0.6,,,,table_1.2.xlsx
Causing Hurt by act endangering life/safety of others,IPC,2024,6890.0,0.0,6890.0,0.0,0.2,table_1.2.xlsx
Other Simple Hurt,IPC,2022,8492.0,0.6,,,,table_1.2.xlsx
Other Simple Hurt,IPC,2023,9389.0,0.7,,,,table_1.2.xlsx
Other Simple Hurt,IPC,2024,11018.0,0.0,11018.0,0.0,0.3,table_1.2.xlsx
Grievous Hurt,IPC,2022,108884.0,7.9,,,,table_1.2.xlsx
Grievous Hurt,IPC,2023,99588.0,7.2,,,,table_1.2.xlsx
Grievous Hurt,IPC,2024,71040.0,184643.0,71040.0,184643.0,7.2,table_1.2.xlsx
Voluntarily causing grievous hurt,IPC,2022,84975.0,6.2,,,,table_1.2.xlsx
Voluntarily causing grievous hurt,IPC,2023,72278.0,5.2,,,,table_1.2.xlsx
Voluntarily causing grievous hurt,IPC,2024,52873.0,70392.0,52873.0,70392.0,3.5,table_1.2.xlsx
Grievous Hurt resulting persistent vegetative state or permanent,IPC,2022,,,,,,table_1.2.xlsx
Grievous Hurt resulting persistent vegetative state or permanent,IPC,2023,,,,,,table_1.2.xlsx
Grievous Hurt resulting persistent vegetative state or permanent,IPC,2024,0.0,1092.0,0.0,1092.0,0.0,table_1.2.xlsx
Grievous hurt caused by a group of 5 or more persons,IPC,2022,,,,,,table_1.2.xlsx
Grievous hurt caused by a group of 5 or more persons,IPC,2023,,,,,,table_1.2.xlsx
Grievous hurt caused by a group of 5 or more persons,IPC,2024,0.0,330.0,0.0,330.0,0.0,table_1.2.xlsx
Voluntarily causing hurt or grievous hurt by dangerous weapons or means,IPC,2022,19163.0,1.4,,,,table_1.2.xlsx
Voluntarily causing hurt or grievous hurt by dangerous weapons or means,IPC,2023,21579.0,1.5,,,,table_1.2.xlsx
Voluntarily causing hurt or grievous hurt by dangerous weapons or means,IPC,2024,11681.0,76360.0,11681.0,76360.0,2.5,table_1.2.xlsx
Voluntarily causing hurt or grievous hurt/Assault or criminal force to deter public servant from his duty,IPC,2022,1009.0,0.1,,,,table_1.2.xlsx
Voluntarily causing hurt or grievous hurt/Assault or criminal force to deter public servant from his duty,IPC,2023,1166.0,0.1,,,,table_1.2.xlsx
Voluntarily causing hurt or grievous hurt/Assault or criminal force to deter public servant from his duty,IPC,2024,886.0,5288.0,886.0,5288.0,0.2,table_1.2.xlsx
Acid Attack,IPC,2022,202.0,0.0,,,,table_1.2.xlsx
Acid Attack,IPC,2023,207.0,0.0,,,,table_1.2.xlsx
Acid Attack,IPC,2024,122.0,85.0,122.0,85.0,0.0,table_1.2.xlsx
Attempt to Acid Attack,IPC,2022,71.0,0.0,,,,table_1.2.xlsx
Attempt to Acid Attack,IPC,2023,65.0,0.0,,,,table_1.2.xlsx
Attempt to Acid Attack,IPC,2024,29.0,39.0,29.0,39.0,0.0,table_1.2.xlsx
Act endangering life or personal safety of others,IPC,2022,2748.0,0.2,,,,table_1.2.xlsx
Act endangering life or personal safety of others,IPC,2023,3691.0,0.3,,,,table_1.2.xlsx
Act endangering life or personal safety of others,IPC,2024,3698.0,12640.0,3698.0,12640.0,0.5,table_1.2.xlsx
Other Grievous Hurt,IPC,2022,716.0,0.1,,,,table_1.2.xlsx
Other Grievous Hurt,IPC,2023,602.0,0.0,,,,table_1.2.xlsx
Other Grievous Hurt,IPC,2024,1751.0,18417.0,1751.0,18417.0,0.6,table_1.2.xlsx
Wrongful Restraint/Confinement,IPC,2022,25449.0,1.8,,,,table_1.2.xlsx
Wrongful Restraint/Confinement,IPC,2023,32575.0,2.3,,,,table_1.2.xlsx
Wrongful Restraint/Confinement,IPC,2024,24213.0,26668.0,24213.0,26668.0,1.4,table_1.2.xlsx
Kidnapping and Abduction,IPC,2022,107588.0,7.8,,,,table_1.2.xlsx
Kidnapping and Abduction,IPC,2023,113564.0,8.2,,,,table_1.2.xlsx
Kidnapping and Abduction,IPC,2024,46637.0,49442.0,46637.0,49442.0,2.7,table_1.2.xlsx
Kidnapping and Abduction,IPC,2022,63122.0,4.6,,,,table_1.2.xlsx
Kidnapping and Abduction,IPC,2023,67480.0,4.8,,,,table_1.2.xlsx
Kidnapping and Abduction,IPC,2024,39062.0,42133.0,39062.0,42133.0,2.3,table_1.2.xlsx
Kidnapping and Abduction for the Purpose of Begging,IPC,2022,98.0,0.0,,,,table_1.2.xlsx
Kidnapping and Abduction for the Purpose of Begging,IPC,2023,65.0,0.0,,,,table_1.2.xlsx
Kidnapping and Abduction for the Purpose of Begging,IPC,2024,10.0,15.0,10.0,15.0,0.0,table_1.2.xlsx
Kidnapping and Abduction in order to Murder,IPC,2022,454.0,0.0,,,,table_1.2.xlsx
Kidnapping and Abduction in order to Murder,IPC,2023,355.0,0.0,,,,table_1.2.xlsx
Kidnapping and Abduction in order to Murder,IPC,2024,171.0,147.0,171.0,147.0,0.0,table_1.2.xlsx
Kidnapping for Ransom,IPC,2022,615.0,0.0,,,,table_1.2.xlsx
Kidnapping for Ransom,IPC,2023,615.0,0.0,,,,table_1.2.xlsx
Kidnapping for Ransom,IPC,2024,317.0,387.0,317.0,387.0,0.0,table_1.2.xlsx
Kidnapping and Abducting of Women to compel her for marriage,IPC,2022,28656.0,2.1,,,,table_1.2.xlsx
Kidnapping and Abducting of Women to compel her for marriage,IPC,2023,30496.0,2.2,,,,table_1.2.xlsx
Kidnapping and Abducting of Women to compel her for marriage,IPC,2024,,,,,,table_1.2.xlsx
Procuration of Children,IPC,2022,1827.0,0.1,,,,table_1.2.xlsx
Procuration of Children,IPC,2023,1858.0,0.1,,,,table_1.2.xlsx
Procuration of Children,IPC,2024,,,,,,table_1.2.xlsx
Importation of Girl or Boy from Foreign Country,IPC,2022,1.0,0.0,,,,table_1.2.xlsx
Importation of Girl or Boy from Foreign Country,IPC,2023,2.0,0.0,,,,table_1.2.xlsx
Importation of Girl or Boy from Foreign Country,IPC,2024,1.0,3.0,1.0,3.0,0.0,table_1.2.xlsx
Girls (Below 21 Yrs),IPC,2022,,,,,,table_1.2.xlsx
Girls (Below 21 Yrs),IPC,2023,,,,,,table_1.2.xlsx
Girls (Below 21 Yrs),IPC,2024,1.0,1.0,1.0,1.0,0.0,table_1.2.xlsx
Boys (Below 18 Yrs),IPC,2022,,,,,,table_1.2.xlsx
Boys (Below 18 Yrs),IPC,2023,,,,,,table_1.2.xlsx
Boys (Below 18 Yrs),IPC,2024,0.0,2.0,0.0,2.0,0.0,table_1.2.xlsx
Other Kidnapping & Abduction,IPC,2022,12815.0,0.9,,,,table_1.2.xlsx
Other Kidnapping & Abduction,IPC,2023,12693.0,0.9,,,,table_1.2.xlsx
Other Kidnapping & Abduction,IPC,2024,7076.0,6757.0,7076.0,6757.0,0.4,table_1.2.xlsx
Attempt to Commit Suicide,IPC,2022,1769.0,0.1,,,,table_1.2.xlsx
Attempt to Commit Suicide,IPC,2023,1717.0,0.1,,,,table_1.2.xlsx
Attempt to Commit Suicide,IPC,2024,,,,,,table_1.2.xlsx
Human Trafficking,IPC,2022,1200.0,0.1,,,,table_1.2.xlsx
Human Trafficking,IPC,2023,1425.0,0.1,,,,table_1.2.xlsx
Human Trafficking,IPC,2024,,,,,,table_1.2.xlsx
Exploitation of Trafficked Person,IPC,2022,253.0,0.0,,,,table_1.2.xlsx
Exploitation of Trafficked Person,IPC,2023,195.0,0.0,,,,table_1.2.xlsx
Exploitation of Trafficked Person,IPC,2024,,,,,,table_1.2.xlsx
Unnatural Offences,IPC,2022,987.0,0.1,,,,table_1.2.xlsx
Unnatural Offences,IPC,2023,888.0,0.1,,,,table_1.2.xlsx
Unnatural Offences,IPC,2024,,,,,,table_1.2.xlsx
Offences against Human Body (Total of Sl.23-34 + E1-E4),IPC,2022,1158815.0,84.0,,,,table_1.2.xlsx
Offences against Human Body (Total of Sl.23-34 + E1-E4),IPC,2023,1185915.0,85.2,,,,table_1.2.xlsx
Offences against Human Body (Total of Sl.23-34 + E1-E4),IPC,2024,477454.0,394774.0,477454.0,394774.0,24.6,table_1.2.xlsx
Offences of Woman & Child and Human Body (Total of Sl.1-34),IPC,2022,,,,,,table_1.2.xlsx
Offences of Woman & Child and Human Body (Total of Sl.1-34),IPC,2023,,,,,,table_1.2.xlsx
Offences of Woman & Child and Human Body (Total of Sl.1-34),IPC,2024,648317.0,508441.0,648317.0,508441.0,32.6,table_1.2.xlsx
Offences against State,IPC,2022,68.0,0.0,,,,table_1.2.xlsx
Offences against State,IPC,2023,58.0,0.0,,,,table_1.2.xlsx
Offences against State,IPC,2024,26.0,57.0,26.0,57.0,0.0,table_1.2.xlsx
Act endangering sovereignty unity and integrity of India,IPC,2022,,,,,,table_1.2.xlsx
Act endangering sovereignty unity and integrity of India,IPC,2023,,,,,,table_1.2.xlsx
Act endangering sovereignty unity and integrity of India,IPC,2024,0.0,28.0,0.0,28.0,0.0,table_1.2.xlsx
Other Offences against State,IPC,2022,48.0,0.0,,,,table_1.2.xlsx
Other Offences against State,IPC,2023,48.0,0.0,,,,table_1.2.xlsx
Other Offences against State,IPC,2024,26.0,29.0,26.0,29.0,0.0,table_1.2.xlsx
Sedition,IPC,2022,20.0,0.0,,,,table_1.2.xlsx
Sedition,IPC,2023,10.0,0.0,,,,table_1.2.xlsx
Sedition,IPC,2024,,,,,,table_1.2.xlsx
Offences against the State (Total),IPC,2022,68.0,0.0,,,,table_1.2.xlsx
Offences against the State (Total),IPC,2023,58.0,0.0,,,,table_1.2.xlsx
Offences against the State (Total),IPC,2024,26.0,57.0,26.0,57.0,0.0,table_1.2.xlsx
Unlawful Assembly,IPC,2022,11391.0,0.8,,,,table_1.2.xlsx
Unlawful Assembly,IPC,2023,10002.0,0.7,,,,table_1.2.xlsx
Unlawful Assembly,IPC,2024,3784.0,3290.0,3784.0,3290.0,0.2,table_1.2.xlsx
Rioting,IPC,2022,37816.0,2.7,,,,table_1.2.xlsx
Rioting,IPC,2023,39260.0,2.8,,,,table_1.2.xlsx
Rioting,IPC,2024,17105.0,13243.0,17105.0,13243.0,0.9,table_1.2.xlsx
Communal/Religious,IPC,2022,272.0,0.0,,,,table_1.2.xlsx
Communal/Religious,IPC,2023,272.0,0.0,,,,table_1.2.xlsx
Communal/Religious,IPC,2024,182.0,167.0,182.0,167.0,0.0,table_1.2.xlsx
Ethnic or Community Groups Clash or Agitations,IPC,2022,,,,,,table_1.2.xlsx
Ethnic or Community Groups Clash or Agitations,IPC,2023,,,,,,table_1.2.xlsx
Ethnic or Community Groups Clash or Agitations,IPC,2024,0.0,30.0,0.0,30.0,0.0,table_1.2.xlsx
Sectarian,IPC,2022,76.0,0.0,,,,table_1.2.xlsx
Sectarian,IPC,2023,96.0,0.0,,,,table_1.2.xlsx
Sectarian,IPC,2024,55.0,25.0,55.0,25.0,0.0,table_1.2.xlsx
Industrial,IPC,2022,121.0,0.0,,,,table_1.2.xlsx
Industrial,IPC,2023,97.0,0.0,,,,table_1.2.xlsx
Industrial,IPC,2024,46.0,39.0,46.0,39.0,0.0,table_1.2.xlsx
Political,IPC,2022,941.0,0.1,,,,table_1.2.xlsx
Political,IPC,2023,565.0,0.0,,,,table_1.2.xlsx
Political,IPC,2024,372.0,261.0,372.0,261.0,0.0,table_1.2.xlsx
Caste Conflict,IPC,2022,179.0,0.0,,,,table_1.2.xlsx
Caste Conflict,IPC,2023,203.0,0.0,,,,table_1.2.xlsx
Caste Conflict,IPC,2024,91.0,75.0,91.0,75.0,0.0,table_1.2.xlsx
Agrarian,IPC,2022,911.0,0.1,,,,table_1.2.xlsx
Agrarian,IPC,2023,769.0,0.1,,,,table_1.2.xlsx
Agrarian,IPC,2024,323.0,203.0,323.0,203.0,0.0,table_1.2.xlsx
Students,IPC,2022,210.0,0.0,,,,table_1.2.xlsx
Students,IPC,2023,251.0,0.0,,,,table_1.2.xlsx
Students,IPC,2024,53.0,91.0,53.0,91.0,0.0,table_1.2.xlsx
Money Dispute,IPC,2022,637.0,0.0,,,,table_1.2.xlsx
Money Dispute,IPC,2023,442.0,0.0,,,,table_1.2.xlsx
Money Dispute,IPC,2024,319.0,264.0,319.0,264.0,0.0,table_1.2.xlsx
Water Dispute,IPC,2022,197.0,0.0,,,,table_1.2.xlsx
Water Dispute,IPC,2023,121.0,0.0,,,,table_1.2.xlsx
Water Dispute,IPC,2024,180.0,123.0,180.0,123.0,0.0,table_1.2.xlsx
Land/Property Dispute,IPC,2022,7065.0,0.5,,,,table_1.2.xlsx
Land/Property Dispute,IPC,2023,5380.0,0.4,,,,table_1.2.xlsx
Land/Property Dispute,IPC,2024,2758.0,1881.0,2758.0,1881.0,0.1,table_1.2.xlsx
Family Disputes,IPC,2022,3035.0,0.2,,,,table_1.2.xlsx
Family Disputes,IPC,2023,2243.0,0.2,,,,table_1.2.xlsx
Family Disputes,IPC,2024,1002.0,730.0,1002.0,730.0,0.0,table_1.2.xlsx
Enmity/Rivalry,IPC,2022,4771.0,0.3,,,,table_1.2.xlsx
Enmity/Rivalry,IPC,2023,4279.0,0.3,,,,table_1.2.xlsx
Enmity/Rivalry,IPC,2024,2666.0,2155.0,2666.0,2155.0,0.1,table_1.2.xlsx
Electricity/Power Supply Disputes,IPC,2022,10.0,0.0,,,,table_1.2.xlsx
Electricity/Power Supply Disputes,IPC,2023,37.0,0.0,,,,table_1.2.xlsx
Electricity/Power Supply Disputes,IPC,2024,8.0,14.0,8.0,14.0,0.0,table_1.2.xlsx
