fir_id,fir_number,station_id,crime_head_id,date_registered,year,month,status,description,victim_age,victim_gender,accused_count,latitude,longitude,is_cyber,is_economic,chargesheet_filed
12,FIR/2023/KA01/00006,119,1,2023-11-25,2023,11,under_investigation,Complaint received regarding theft of mobile phone worth Rs.371081.,18.0,Male,2,13.032281120143475,77.54382391304559,0,0,0
13,FIR/2024/KA01/00007,117,23,2024-06-20,2024,6,closed,FIR registered for Domestic Violence at Balasubramanian Street.,48.0,Other,3,12.860442966044877,77.45841480066441,0,0,1
14,FIR/2022/KA23/00001,902,13,2022-04-14,2022,4,chargesheeted,FIR registered for Criminal Breach of Trust at Sarma Street.,29.0,Other,2,12.875571898072687,77.35196247648565,0,1,1
15,FIR/2023/KA11/00001,539,25,2023-02-24,2023,2,under_investigation,FIR registered for Arms Act at Date Nagar.,30.0,Male,2,15.124349480981131,76.9057636916439,0,0,0
16,FIR/2023/KA13/00002,634,14,2023-07-16,2023,7,under_investigation,FIR registered for Forgery at Keer Zila.,37.0,Female,5,16.20929807929797,77.21885537216329,0,1,0
17,FIR/2022/KA01/00008,154,1,2022-02-23,2022,2,under_investigation,Complaint received regarding theft of two-wheeler worth Rs.431675.,58.0,Male,4,13.045887728818492,77.45778976488047,0,0,0
18,FIR/2023/KA01/00009,12,19,2023-06-18,2023,6,chargesheeted,FIR registered for Cyber Crime - Phishing at Bali Marg.,40.0,Other,5,13.020930324425475,77.46138277829894,1,0,1
19,FIR/2022/KA02/00001,186,30,2022-11-18,2022,11,under_investigation,FIR registered for Extortion at Dube.,49.0,Other,4,13.182436297965529,77.7184178399365,0,0,0
20,FIR/2022/KA01/00010,148,24,2022-05-15,2022,5,chargesheeted,FIR registered for NDPS Act at Prabhakar Chowk.,39.0,Female,5,13.109349502954952,77.51836403087755,0,0,1
21,FIR/2022/KA01/00011,28,9,2022-02-03,2022,2,under_investigation,FIR registered for Assault on Women at Sawhney Path.,63.0,Female,5,13.126221771726208,77.59418392405406,0,0,0
22,FIR/2024/KA27/00002,1002,27,2024-08-25,2024,8,closed,FIR registered for Hurt/Grievous Hurt at Devan Zila.,29.0,Male,2,16.1903908966573,75.70498090191234,0,0,1
23,FIR/2022/KA21/00001,860,27,2022-12-23,2022,12,closed,FIR registered for Hurt/Grievous Hurt at Peri Circle.,22.0,Female,5,13.193824017528764,78.19027834822184,0,0,1
24,FIR/2024/KA24/00001,919,16,2024-09-25,2024,9,pending_trial,Victim lost Rs.142600 through online fraud/UPI scam.,,Female,3,16.77728323821908,77.27089072913009,1,0,1
25,FIR/2022/KA24/00002,929,9,2022-08-21,2022,8,under_investigation,FIR registered for Assault on Women at Krish Road.,,Other,3,16.930806752696533,77.07463205266626,0,0,0
26,FIR/2024/KA01/00012,82,12,2024-08-15,2024,8,pending_trial,Accused cheated complainant of Rs.495134 through false promises.,26.0,Other,5,12.935754465599189,77.53150736795345,0,1,1
27,FIR/2023/KA20/00001,837,1,2023-11-24,2023,11,chargesheeted,Complaint received regarding theft of cash worth Rs.233053.,48.0,Other,2,12.672912310649858,76.98927341222306,0,0,1
28,FIR/2022/KA01/00013,150,3,2022-06-14,2022,6,under_investigation,Complainant robbed at Ram Circle by 1 armed persons.,66.0,Male,3,12.878459489939807,77.65584295552168,0,0,0
29,FIR/2023/KA01/00014,122,35,2023-12-16,2023,12,pending_trial,FIR registered for SC/ST Atrocities Act at Dalal Circle.,69.0,Female,5,13.098238615740767,77.58027571940023,0,0,1
30,FIR/2023/KA03/00001,218,22,2023-06-07,2023,6,under_investigation,FIR registered for POCSO Act at Lad Road.,63.0,Other,4,12.281334074225652,76.54563369704931,0,0,0
31,FIR/2022/KA29/00001,1085,15,2022-02-14,2022,2,chargesheeted,FIR registered for Counterfeiting at Kala Chowk.,65.0,Other,3,14.554709155060529,75.95960928093567,0,1,1
32,FIR/2023/KA01/00015,179,9,2023-03-05,2023,3,under_investigation,FIR registered for Assault on Women at Mangal.,57.0,Female,2,12.86825774892622,77.4349309722047,0,0,0
33,FIR/2023/KA01/00016,14,18,2023-09-01,2023,9,under_investigation,FIR registered for Cyber Crime - Hacking at Iyengar Chowk.,46.0,Other,1,12.894304419918239,77.6213323477479,1,0,0
34,FIR/2024/KA01/00017,19,8,2024-08-07,2024,8,under_investigation,Victim reported sexual assault incident at Deshmukh Zila. Medical examination conducted.,47.0,Other,1,13.045303945881434,77.47512285197072,0,0,0
35,FIR/2023/KA01/00018,86,2,2023-03-02,2023,3,under_investigation,FIR registered for House Breaking & Theft at Seth Zila.,75.0,Female,4,13.085109081895775,77.60423146224744,0,0,0
36,FIR/2024/KA30/00001,1110,5,2024-12-08,2024,12,under_investigation,Dead body found at Saxena Street. Prima facie case of murder registered.,65.0,Male,5,15.458879315348542,76.3423978852823,0,0,0
37,FIR/2024/KA13/00003,618,3,2024-07-22,2024,7,pending_trial,Complainant robbed at Nagarajan Zila by 1 armed persons.,53.0,Other,1,16.237969509613404,77.43690480048168,0,0,1
38,FIR/2024/KA01/00019,132,19,2024-04-12,2024,4,closed,FIR registered for Cyber Crime - Phishing at Bhattacharyya Path.,38.0,Male,2,13.045301615893633,77.46725687440052,1,0,1
39,FIR/2024/KA04/00001,252,1,2024-07-26,2024,7,under_investigation,Complaint received regarding theft of mobile phone worth Rs.309651.,27.0,Female,1,15.805056890256196,74.4926587682634,0,0,0
40,FIR/2022/KA01/00020,116,2,2022-11-20,2022,11,under_investigation,FIR registered for House Breaking & Theft at Dugar Road.,62.0,Other,1,13.031974098306609,77.63574598523424,0,0,0
41,FIR/2022/KA06/00001,333,21,2022-09-26,2022,9,chargesheeted,FIR registered for Dowry Prohibition Act at Pathak Street.,19.0,Other,4,12.931154699890017,74.86340928695044,0,0,1
42,FIR/2024/KA02/00002,198,3,2024-01-16,2024,1,chargesheeted,Complainant robbed at Kapur Circle by 4 armed persons.,29.0,Other,3,13.086538235027671,77.66152478884463,0,0,1
43,FIR/2023/KA01/00021,63,22,2023-10-28,2023,10,chargesheeted,FIR registered for POCSO Act at Iyer Zila.,70.0,Female,5,12.833829508280182,77.64534979314898,0,0,1
44,FIR/2023/KA27/00003,1014,1,2023-11-17,2023,11,under_investigation,Complaint received regarding theft of two-wheeler worth Rs.467910.,41.0,Other,2,16.312029763772312,75.74157067026398,0,0,0
45,FIR/2024/KA01/00022,41,32,2024-09-27,2024,9,under_investigation,FIR registered for Missing Person at Bal Chowk.,27.0,Other,3,13.076234001596513,77.5771771571914,0,0,0
46,FIR/2024/KA01/00023,93,21,2024-02-04,2024,2,chargesheeted,FIR registered for Dowry Prohibition Act at Pillay Path.,20.0,Male,1,13.080233811489467,77.67177514346595,0,0,1
47,FIR/2022/KA05/00001,282,16,2022-10-21,2022,10,closed,Victim lost Rs.280681 through online fraud/UPI scam.,,Male,5,17.22506180778279,76.91923344439334,1,0,1
48,FIR/2024/KA01/00024,34,30,2024-04-21,2024,4,chargesheeted,FIR registered for Extortion at Chadha.,65.0,Female,3,13.016060983085524,77.4727840009779,0,0,1
49,FIR/2023/KA09/00001,422,10,2023-10-09,2023,10,chargesheeted,FIR registered for Sexual Harassment at More Zila.,,Male,5,13.998178770006307,75.43754687731237,0,0,1
50,FIR/2024/KA12/00001,558,30,2024-09-13,2024,9,under_investigation,FIR registered for Extortion at Srinivas Marg.,29.0,Other,5,16.83873538400999,75.77053656727597,0,0,0
51,FIR/2022/KA14/00002,651,19,2022-11-19,2022,11,under_investigation,FIR registered for Cyber Crime - Phishing at Roy Circle.,28.0,Male,5,15.496416286944596,74.87679551482246,1,0,0
52,FIR/2023/KA01/00025,58,30,2023-03-18,2023,3,pending_trial,FIR registered for Extortion at Borah Marg.,53.0,Female,3,12.867986731666857,77.59562163288743,0,0,1
53,FIR/2024/KA01/00026,4,1,2024-12-11,2024,12,chargesheeted,Complaint received regarding theft of cash worth Rs.291065.,53.0,Other,3,12.823961341797368,77.50234713896832,0,0,1
54,FIR/2023/KA01/00027,2,2,2023-07-01,2023,7,chargesheeted,FIR registered for House Breaking & Theft at Sengupta Zila.,74.0,Female,1,13.016623358469126,77.7011294681393,0,0,1
55,FIR/2022/KA11/00002,509,19,2022-06-01,2022,6,closed,FIR registered for Cyber Crime - Phishing at Varughese Chowk.,,Female,3,15.202417284253837,76.84817352717039,1,0,1
56,FIR/2023/KA11/00003,538,3,2023-10-08,2023,10,under_investigation,Complainant robbed at Dave Path by 4 armed persons.,31.0,Other,1,15.14499122106978,77.05278316777257,0,0,0
57,FIR/2024/KA12/00002,591,19,2024-03-16,2024,3,closed,FIR registered for Cyber Crime - Phishing at Gopal Circle.,37.0,Male,5,16.95901784441998,75.77166987632033,1,0,1
58,FIR/2022/KA10/00001,464,17,2022-06-12,2022,6,closed,FIR registered for Cyber Crime - Identity Theft at Sant Street.,32.0,Other,5,13.47176912663133,77.10556648412127,1,0,1
59,FIR/2022/KA01/00028,132,6,2022-11-13,2022,11,registered,FIR registered for Attempt to Murder at Bhakta Circle.,27.0,Female,5,13.041436746103763,77.4499968993042,0,0,0
60,FIR/2024/KA29/00002,1087,12,2024-11-24,2024,11,pending_trial,Accused cheated complainant of Rs.399705 through false promises.,36.0,Female,2,14.461590561814834,75.95127380450555,0,1,1
61,FIR/2023/KA09/00002,418,27,2023-10-24,2023,10,registered,FIR registered for Hurt/Grievous Hurt at Modi Street.,45.0,Other,2,14.008425316785477,75.69081890007904,0,0,0
62,FIR/2022/KA05/00002,311,14,2022-04-16,2022,4,under_investigation,FIR registered for Forgery at Edwin Street.,35.0,Female,3,17.250911518893997,76.8843617294898,0,1,0
63,FIR/2022/KA12/00003,553,8,2022-02-22,2022,2,under_investigation,Victim reported sexual assault incident at Kar Path. Medical examination conducted.,56.0,Other,1,16.773682251682526,75.82799321056045,0,0,0
64,FIR/2024/KA09/00003,447,2,2024-06-20,2024,6,closed,FIR registered for House Breaking & Theft at Venkataraman Path.,70.0,Male,2,13.869649369098491,75.59184664868717,0,0,1
65,FIR/2023/KA28/00001,1047,32,2023-12-28,2023,12,under_investigation,FIR registered for Missing Person at Brar Road.,70.0,Female,1,14.791498854896842,74.83353523094537,0,0,0
66,FIR/2023/KA01/00029,6,33,2023-05-15,2023,5,chargesheeted,FIR registered for Road Accident Death at Hegde Road.,51.0,Female,5,12.822871053213786,77.69554294334039,0,0,1
67,FIR/2024/KA29/00003,1076,15,2024-03-23,2024,3,chargesheeted,FIR registered for Counterfeiting at Maharaj Circle.,21.0,Female,2,14.523794539780296,75.98455559105565,0,1,1
68,FIR/2024/KA01/00030,106,12,2024-01-15,2024,1,chargesheeted,Accused cheated complainant of Rs.39916 through false promises.,60.0,Other,3,13.035442290942397,77.52442313295737,0,1,1
69,FIR/2023/KA01/00031,114,2,2023-11-13,2023,11,under_investigation,FIR registered for House Breaking & Theft at Walla.,49.0,Other,5,13.043927826752906,77.48346200800033,0,0,0
70,FIR/2023/KA27/00004,1013,22,2023-08-18,2023,8,pending_trial,FIR registered for POCSO Act at Thakkar Zila.,37.0,Female,4,16.06675799271309,75.63795121002363,0,0,1
71,FIR/2024/KA01/00032,35,18,2024-06-22,2024,6,under_investigation,FIR registered for Cyber Crime - Hacking at Dube Street.,58.0,Female,4,13.12326608344315,77.73392434550713,1,0,0
72,FIR/2024/KA01/00033,51,16,2024-01-18,2024,1,pending_trial,Victim lost Rs.84538 through online fraud/UPI scam.,60.0,Male,1,12.957869586556855,77.58553571376294,1,0,1
73,FIR/2024/KA12/00004,582,22,2024-11-20,2024,11,closed,FIR registered for POCSO Act at Barman.,45.0,Female,5,16.734309389534822,75.65556635004823,0,0,1
74,FIR/2024/KA01/00034,129,9,2024-04-21,2024,4,under_investigation,FIR registered for Assault on Women at Bumb Nagar.,37.0,Other,5,12.983361508616225,77.51357657192722,0,0,0
75,FIR/2024/KA16/00002,718,28,2024-03-21,2024,3,pending_trial,FIR registered for Criminal Trespass at Lanka Nagar.,64.0,Male,2,14.756705903567648,75.35583852486465,0,0,1
76,FIR/2024/KA02/00003,196,16,2024-12-01,2024,12,closed,Victim lost Rs.220614 through online fraud/UPI scam.,70.0,Other,3,13.302950282230826,77.47186334408939,1,0,1
77,FIR/2024/KA10/00002,454,22,2024-03-06,2024,3,registered,FIR registered for POCSO Act at Balasubramanian.,57.0,Male,5,13.270815301370773,77.03195811540714,0,0,0
78,FIR/2023/KA23/00002,911,10,2023-06-03,2023,6,chargesheeted,FIR registered for Sexual Harassment at Mann Chowk.,41.0,Male,4,12.813866823882654,77.29621050889367,0,0,1
79,FIR/2022/KA01/00035,34,17,2022-04-08,2022,4,registered,FIR registered for Cyber Crime - Identity Theft at Subramanian Road.,32.0,Other,2,13.014602063589026,77.4730974529694,1,0,0
80,FIR/2023/KA01/00036,167,16,2023-08-28,2023,8,chargesheeted,Victim lost Rs.459439 through online fraud/UPI scam.,45.0,Female,1,12.928019198316852,77.7216691405915,1,0,1
81,FIR/2022/KA06/00002,333,1,2022-12-11,2022,12,under_investigation,Complaint received regarding theft of cash worth Rs.316325.,46.0,Female,1,12.951939197529983,74.86784886598072,0,0,0
82,FIR/2022/KA17/00001,745,11,2022-09-13,2022,9,pending_trial,FIR registered for Kidnapping & Abduction at Bhasin Zila.,58.0,Male,2,14.217638174489366,76.30488059565819,0,0,1
83,FIR/2022/KA03/00002,227,25,2022-05-25,2022,5,closed,FIR registered for Arms Act at Sarraf Street.,21.0,Other,5,12.323521025865983,76.59148015812288,0,0,1
84,FIR/2022/KA08/00001,402,1,2022-11-15,2022,11,under_investigation,Complaint received regarding theft of cash worth Rs.64334.,75.0,Other,5,13.039743266967614,75.9738413722039,0,0,0
85,FIR/2024/KA04/00002,244,16,2024-08-01,2024,8,under_investigation,Victim lost Rs.475085 through online fraud/UPI scam.,23.0,Female,3,15.814907697133235,74.49319249852022,1,0,0
86,FIR/2023/KA12/00005,558,34,2023-03-23,2023,3,closed,FIR registered for Immoral Traffic Act at Dhawan Path.,23.0,Other,4,16.85120295343419,75.80532365702476,0,0,1
87,FIR/2022/KA01/00037,116,27,2022-10-06,2022,10,under_investigation,FIR registered for Hurt/Grievous Hurt at Nagar Path.,54.0,Other,2,13.033425963854796,77.63222329495659,0,0,0
88,FIR/2022/KA01/00038,158,1,2022-12-02,2022,12,under_investigation,Complaint received regarding theft of gold chain worth Rs.387815.,29.0,Male,2,13.034280355180636,77.42853731594377,0,0,0
89,FIR/2024/KA28/00002,1068,27,2024-05-01,2024,5,chargesheeted,FIR registered for Hurt/Grievous Hurt at Prabhakar Street.,49.0,Male,2,14.864935493087373,74.59944947959212,0,0,1
90,FIR/2022/KA01/00039,147,2,2022-07-15,2022,7,registered,FIR registered for House Breaking & Theft at Cherian Circle.,35.0,Other,5,12.854990855652229,77.7200915040386,0,0,0
91,FIR/2024/KA01/00040,90,16,2024-03-05,2024,3,registered,Victim lost Rs.24252 through online fraud/UPI scam.,60.0,Other,5,12.999735661865683,77.50778138793078,1,0,0
92,FIR/2024/KA10/00003,468,8,2024-01-04,2024,1,under_investigation,Victim reported sexual assault incident at Das Chowk. Medical examination conducted.,62.0,Other,5,13.226040303535493,76.99366708789867,0,0,0
93,FIR/2023/KA12/00006,577,16,2023-08-24,2023,8,chargesheeted,Victim lost Rs.53824 through online fraud/UPI scam.,75.0,Female,1,16.83421367951349,75.64651038520338,1,0,1
94,FIR/2023/KA01/00041,151,5,2023-02-10,2023,2,chargesheeted,Dead body found at Dhaliwal Ganj. Prima facie case of murder registered.,44.0,Other,2,13.011201179893806,77.73820214979715,0,0,1
95,FIR/2022/KA13/00004,611,1,2022-02-19,2022,2,chargesheeted,Complaint received regarding theft of cash worth Rs.50964.,56.0,Other,3,16.28035814420344,77.42402491879406,0,0,1
96,FIR/2024/KA01/00042,17,1,2024-05-17,2024,5,chargesheeted,Complaint received regarding theft of cash worth Rs.190521.,49.0,Other,4,12.89474317814874,77.57047428926626,0,0,1
97,FIR/2022/KA11/00004,526,14,2022-10-08,2022,10,chargesheeted,FIR registered for Forgery at Sahota.,,Other,1,15.10676473502495,76.8305842334541,0,1,1
98,FIR/2022/KA01/00043,177,14,2022-10-14,2022,10,under_investigation,FIR registered for Forgery at Dutta Ganj.,,Male,3,13.029152700887142,77.72029544253652,0,1,0
99,FIR/2023/KA01/00044,156,12,2023-05-17,2023,5,chargesheeted,Accused cheated complainant of Rs.64683 through false promises.,64.0,Other,5,13.02012751301012,77.49419871079625,0,1,1
100,FIR/2023/KA09/00004,426,1,2023-04-11,2023,4,closed,Complaint received regarding theft of laptop worth Rs.485333.,59.0,Male,4,13.86043145154667,75.50013171745373,0,0,1
101,FIR/2024/KA08/00002,408,16,2024-09-11,2024,9,chargesheeted,Victim lost Rs.491429 through online fraud/UPI scam.,37.0,Other,3,12.952430088332141,76.04641573721847,1,0,1
102,FIR/2022/KA10/00004,466,2,2022-10-22,2022,10,under_investigation,FIR registered for House Breaking & Theft at Tara Chowk.,19.0,Female,4,13.21055743390461,77.04910323099745,0,0,0
103,FIR/2023/KA09/00005,441,1,2023-10-20,2023,10,under_investigation,Complaint received regarding theft of cash worth Rs.66260.,38.0,Other,1,13.905751896663984,75.60560491139968,0,0,0
104,FIR/2023/KA27/00005,1021,17,2023-04-12,2023,4,chargesheeted,FIR registered for Cyber Crime - Identity Theft at Chana Nagar.,41.0,Male,2,16.27478215384668,75.80320296371949,1,0,1
105,FIR/2023/KA09/00006,442,13,2023-01-26,2023,1,chargesheeted,FIR registered for Criminal Breach of Trust at Tiwari Marg.,48.0,Other,5,14.021030348356584,75.57658451806142,0,1,1
106,FIR/2024/KA27/00006,1023,12,2024-02-27,2024,2,pending_trial,Accused cheated complainant of Rs.359794 through false promises.,20.0,Female,4,16.131239095616106,75.74624179492875,0,1,1
107,FIR/2022/KA25/00001,950,2,2022-01-10,2022,1,pending_trial,FIR registered for House Breaking & Theft at Pandit Ganj.,74.0,Male,1,17.945813108484202,77.4275083714671,0,0,1
108,FIR/2022/KA01/00045,37,1,2022-05-01,2022,5,chargesheeted,Complaint received regarding theft of gold chain worth Rs.339941.,30.0,Female,3,13.0723910322306,77.54776548389611,0,0,1
109,FIR/2023/KA10/00005,497,1,2023-11-04,2023,11,under_investigation,Complaint received regarding theft of two-wheeler worth Rs.148464.,,Other,5,13.402958426478378,77.03437509518292,0,0,0
110,FIR/2024/KA20/00002,807,1,2024-06-18,2024,6,under_investigation,Complaint received regarding theft of two-wheeler worth Rs.499549.,28.0,Male,3,12.491079515340639,76.95266055570119,0,0,0
111,FIR/2024/KA01/00046,102,1,2024-08-02,2024,8,under_investigation,Complaint received regarding theft of laptop worth Rs.478585.,21.0,Male,4,12.999139670425826,77.60621410374716,0,0,0
112,FIR/2024/KA08/00003,414,29,2024-10-21,2024,10,closed,FIR registered for Mischief at Chokshi Nagar.,70.0,Male,5,12.865124824297213,76.09046135965458,0,0,1
113,FIR/2022/KA16/00003,704,8,2022-08-19,2022,8,under_investigation,Victim reported sexual assault incident at Desai Marg. Medical examination conducted.,59.0,Other,4,14.779519834990886,75.456985930808,0,0,0
114,FIR/2024/KA13/00005,598,27,2024-03-28,2024,3,closed,FIR registered for Hurt/Grievous Hurt at Pau Road.,62.0,Other,3,16.122931148253915,77.48701115560912,0,0,1
115,FIR/2024/KA01/00047,148,12,2024-08-16,2024,8,registered,Accused cheated complainant of Rs.64185 through false promises.,72.0,Male,3,13.117201660590593,77.5085856092573,0,1,0
116,FIR/2024/KA01/00048,123,33,2024-03-17,2024,3,under_investigation,FIR registered for Road Accident Death at Rattan Nagar.,52.0,Female,4,13.100462438268853,77.47055101167157,0,0,0
117,FIR/2024/KA01/00049,154,24,2024-04-18,2024,4,under_investigation,FIR registered for NDPS Act at Hayer Nagar.,70.0,Other,5,13.033349939905737,77.48660720904832,0,0,0
118,FIR/2023/KA01/00050,37,30,2023-10-26,2023,10,under_investigation,FIR registered for Extortion at Mani Path.,63.0,Other,4,13.055672914419223,77.54069701974265,0,0,0
119,FIR/2024/KA17/00002,753,9,2024-06-18,2024,6,under_investigation,FIR registered for Assault on Women at Raju Zila.,22.0,Other,1,14.130109347277541,76.28993521660094,0,0,0
120,FIR/2024/KA01/00051,140,1,2024-07-11,2024,7,chargesheeted,Complaint received regarding theft of mobile phone worth Rs.52465.,74.0,Other,1,12.953178108695365,77.50054825575077,0,0,1
121,FIR/2024/KA01/00052,33,9,2024-08-18,2024,8,under_investigation,FIR registered for Assault on Women at Mammen Circle.,61.0,Female,3,12.856334056314212,77.64871817060934,0,0,0
122,FIR/2024/KA27/00007,1040,17,2024-05-14,2024,5,chargesheeted,FIR registered for Cyber Crime - Identity Theft at Dani.,50.0,Female,2,16.192957207178054,75.69689642234123,1,0,1
123,FIR/2023/KA01/00053,161,9,2023-09-02,2023,9,registered,FIR registered for Assault on Women at Chatterjee Street.,36.0,Male,2,13.108510620044656,77.52923155498334,0,0,0
124,FIR/2024/KA10/00006,484,24,2024-11-11,2024,11,chargesheeted,FIR registered for NDPS Act at Prakash Marg.,60.0,Male,4,13.350004754627534,77.02147986315077,0,0,1
125,FIR/2023/KA14/00003,669,1,2023-06-27,2023,6,under_investigation,Complaint received regarding theft of gold chain worth Rs.462564.,22.0,Other,1,15.3590988354582,74.95669854729663,0,0,0
126,FIR/2023/KA01/00054,21,16,2023-11-14,2023,11,pending_trial,Victim lost Rs.49388 through online fraud/UPI scam.,44.0,Female,5,13.008966440498384,77.66490393926401,1,0,1
127,FIR/2022/KA23/00003,904,11,2022-08-17,2022,8,under_investigation,FIR registered for Kidnapping & Abduction at Upadhyay.,45.0,Other,1,12.642080540031122,77.23521615546694,0,0,0
128,FIR/2023/KA01/00055,52,25,2023-04-23,2023,4,chargesheeted,FIR registered for Arms Act at Tella Marg.,,Male,5,13.016967725283886,77.63319714394986,0,0,1
129,FIR/2024/KA01/00056,37,1,2024-10-16,2024,10,pending_trial,Complaint received regarding theft of mobile phone worth Rs.79494.,23.0,Other,5,13.054637854029307,77.53575206289395,0,0,1
130,FIR/2024/KA01/00057,27,27,2024-12-22,2024,12,pending_trial,FIR registered for Hurt/Grievous Hurt at Devan Nagar.,75.0,Female,5,13.036885085329885,77.62227775241365,0,0,1
131,FIR/2024/KA01/00058,30,1,2024-09-16,2024,9,chargesheeted,Complaint received regarding theft of gold chain worth Rs.225733.,69.0,Female,3,13.033563326512851,77.68298204651441,0,0,1
132,FIR/2024/KA01/00059,135,12,2024-10-24,2024,10,under_investigation,Accused cheated complainant of Rs.141547 through false promises.,55.0,Male,5,13.067861795391654,77.63692159317557,0,1,0
133,FIR/2024/KA27/00008,1034,31,2024-12-20,2024,12,registered,FIR registered for Criminal Intimidation at Varma Street.,72.0,Female,3,16.253799550512255,75.72484887725926,0,0,0
134,FIR/2024/KA01/00060,135,1,2024-05-01,2024,5,closed,Complaint received regarding theft of cash worth Rs.96547.,41.0,Male,3,13.09709810821151,77.6067548352323,0,0,1
135,FIR/2024/KA05/00003,287,12,2024-03-26,2024,3,chargesheeted,Accused cheated complainant of Rs.184751 through false promises.,56.0,Male,4,17.459969451875207,76.68166891506124,0,1,1
136,FIR/2022/KA01/00061,40,14,2022-07-08,2022,7,chargesheeted,FIR registered for Forgery at Ramaswamy Street.,,Female,1,13.00162592787969,77.72721559712134,0,1,1
137,FIR/2022/KA01/00062,169,1,2022-08-10,2022,8,chargesheeted,Complaint received regarding theft of cash worth Rs.127505.,42.0,Female,3,13.023427993238224,77.60598410943399,0,0,1
138,FIR/2024/KA01/00063,43,19,2024-01-10,2024,1,pending_trial,FIR registered for Cyber Crime - Phishing at Nayar.,61.0,Male,1,13.136853485642462,77.64505996605021,1,0,1
139,FIR/2023/KA06/00003,321,15,2023-07-20,2023,7,pending_trial,FIR registered for Counterfeiting at Upadhyay Circle.,24.0,Female,5,12.992797150547597,74.88720404061225,0,1,1
140,FIR/2022/KA01/00064,103,28,2022-12-08,2022,12,closed,FIR registered for Criminal Trespass at Suri Circle.,61.0,Other,2,12.871154793114785,77.43833911956668,0,0,1
141,FIR/2024/KA28/00003,1069,1,2024-01-27,2024,1,registered,Complaint received regarding theft of laptop worth Rs.56222.,40.0,Male,3,14.67641284428581,74.57345967050114,0,0,0
142,FIR/2023/KA01/00065,16,29,2023-10-03,2023,10,registered,FIR registered for Mischief at Badal Chowk.,58.0,Male,1,12.999466454962386,77.63152643137417,0,0,0
143,FIR/2023/KA30/00002,1128,1,2023-07-22,2023,7,closed,Complaint received regarding theft of cash worth Rs.426108.,62.0,Male,3,15.319924744666027,76.38617311385542,0,0,1
144,FIR/2024/KA29/00004,1081,16,2024-02-21,2024,2,chargesheeted,Victim lost Rs.408365 through online fraud/UPI scam.,60.0,Female,3,14.392520641265849,75.92026188240162,1,0,1
145,FIR/2024/KA11/00005,515,13,2024-01-13,2024,1,under_investigation,FIR registered for Criminal Breach of Trust at Morar.,22.0,Female,2,14.996592075398157,76.9289266868026,0,1,0
146,FIR/2022/KA06/00004,322,30,2022-08-04,2022,8,under_investigation,FIR registered for Extortion at Som Nagar.,63.0,Female,1,12.792168435785092,74.91514749308543,0,0,0
147,FIR/2024/KA01/00066,101,35,2024-12-09,2024,12,closed,FIR registered for SC/ST Atrocities Act at Kari Road.,58.0,Male,1,13.007155233459976,77.53896345924461,0,0,1
148,FIR/2022/KA01/00067,164,19,2022-12-11,2022,12,pending_trial,FIR registered for Cyber Crime - Phishing at Srinivasan Nagar.,43.0,Other,1,12.906883148680759,77.55997329441179,1,0,1
149,FIR/2023/KA01/00068,68,13,2023-12-27,2023,12,closed,FIR registered for Criminal Breach of Trust at Viswanathan Street.,37.0,Female,1,13.005246901063982,77.64876695547458,0,1,1
