link_id,fir_id,criminal_id,role
128,4892,567,accused
129,3729,996,accused
130,1619,1146,accused
131,3769,615,accused
132,5229,158,accused
133,4577,469,accused
134,4577,851,accused
135,4577,867,accused
136,2158,441,accused
137,2158,727,accused
138,2158,263,accused
139,210,704,accused
140,210,1155,accused
141,3621,916,accused
142,3621,675,accused
143,3621,378,accused
144,5399,1002,accused
145,5399,78,accused
146,91,286,accused
147,2156,582,accused
148,2156,395,accused
149,2156,300,accused
150,943,1109,accused
151,943,181,accused
152,943,191,accused
153,4764,434,accused
154,4764,296,accused
155,220,505,accused
156,1421,889,accused
157,1421,188,accused
158,1421,399,accused
159,2198,1069,accused
160,2198,3,accused
161,989,529,accused
162,3362,1172,accused
163,3362,304,accused
164,3362,255,accused
165,854,859,accused
166,4062,792,accused
167,4062,75,accused
168,4062,101,accused
169,3669,956,accused
170,3669,672,accused
171,3669,916,accused
172,1120,677,accused
173,1564,1007,accused
174,1564,114,accused
175,4083,1018,accused
176,4083,853,accused
177,4083,633,accused
178,4671,129,accused
179,4671,578,accused
180,5187,767,accused
181,5187,15,accused
182,3608,1128,accused
183,3608,60,accused
184,3608,641,accused
185,1877,126,accused
186,1877,734,accused
187,1877,771,accused
188,264,263,accused
189,4655,832,accused
190,4655,275,accused
191,122,200,accused
192,122,113,accused
193,122,477,accused
194,2693,509,accused
195,1838,69,accused
196,1595,333,accused
197,460,984,accused
198,460,858,accused
199,950,861,accused
200,950,1134,accused
201,950,1137,accused
202,4841,871,accused
203,4841,602,accused
204,1313,21,accused
205,2701,136,accused
206,2701,16,accused
207,2701,963,accused
208,1019,1154,accused
209,1019,889,accused
210,1019,1015,accused
211,4317,1080,accused
212,3503,699,accused
213,3503,918,accused
214,2312,529,accused
215,3671,1175,accused
216,161,158,accused
217,2117,1163,accused
218,2117,987,accused
219,2117,973,accused
220,4328,84,accused
221,4328,686,accused
222,3054,450,accused
223,3054,631,accused
224,3054,576,accused
225,2601,583,accused
226,375,880,accused
227,375,427,accused
228,1398,691,accused
229,1398,428,accused
230,1673,377,accused
231,1673,1039,accused
232,1673,818,accused
233,675,1193,accused
234,675,477,accused
235,675,516,accused
236,2036,26,accused
237,2036,774,accused
238,2036,573,accused
239,3685,208,accused
240,3685,818,accused
241,2407,884,accused
242,2407,608,accused
243,2218,53,accused
244,4002,828,accused
245,4002,1168,accused
246,986,566,accused
247,986,1048,accused
248,2823,1143,accused
249,3100,695,accused
250,2935,505,accused
251,2935,508,accused
252,5471,465,accused
253,1788,318,accused
254,3879,149,accused
255,3879,188,accused
256,812,753,accused
257,812,721,accused
258,2650,1005,accused
259,2650,496,accused
260,2650,231,accused
261,255,596,accused
262,255,322,accused
263,255,136,accused
264,88,210,accused
265,3967,1189,accused
266,3967,326,accused
267,3967,888,accused
268,2103,487,accused
269,2103,860,accused
270,2103,15,accused
271,4545,81,accused
272,4545,963,accused
273,4545,390,accused
274,4219,746,accused
275,4219,206,accused
276,4219,477,accused
277,1816,1161,accused
278,4184,1103,accused
279,4184,878,accused
280,4184,1109,accused
281,1221,880,accused
282,1221,399,accused
283,1221,682,accused
284,3574,289,accused
285,3574,462,accused
286,3574,20,accused
287,4407,729,accused
288,4407,776,accused
289,4407,921,accused
290,1186,954,accused
291,1186,1003,accused
292,453,520,accused
293,671,296,accused
294,1173,746,accused
295,283,407,accused
296,1184,167,accused
297,881,393,accused
298,881,1109,accused
299,2611,565,accused
300,1174,977,accused
301,3314,702,accused
302,3314,522,accused
303,3314,888,accused
304,1422,746,accused
305,1422,758,accused
306,394,58,accused
307,394,860,accused
308,394,545,accused
309,3963,20,accused
310,3963,964,accused
311,3963,620,accused
312,3487,45,accused
313,3487,697,accused
314,3866,336,accused
315,3866,998,accused
316,3866,1041,accused
317,4691,1033,accused
318,2990,1067,accused
319,2990,237,accused
320,4034,256,accused
321,2565,118,accused
322,2565,552,accused
323,2565,25,accused
324,3789,57,accused
325,3789,1187,accused
326,3789,1142,accused
327,852,867,accused
328,852,1111,accused
329,852,920,accused
330,5446,581,accused
331,3550,178,accused
332,4914,955,accused
333,4914,580,accused
334,4914,531,accused
335,3675,727,accused
336,1153,512,accused
337,1153,185,accused
338,3010,335,accused
339,3010,855,accused
340,3010,613,accused
341,129,454,accused
342,129,319,accused
343,129,906,accused
344,223,632,accused
345,5367,736,accused
346,5367,71,accused
347,5367,455,accused
348,4877,428,accused
349,4877,624,accused
350,4877,986,accused
351,3820,1198,accused
352,3820,657,accused
353,2005,385,accused
354,3472,409,accused
355,2808,607,accused
356,2808,370,accused
357,2808,323,accused
358,4217,906,accused
359,4217,130,accused
360,4217,779,accused
361,3673,495,accused
362,3673,705,accused
363,5271,587,accused
364,4775,276,accused
365,4775,799,accused
366,4775,82,accused
367,2138,1031,accused
368,2138,744,accused
369,4829,1025,accused
370,4829,693,accused
371,1213,1085,accused
372,1213,1160,accused
373,1213,128,accused
374,1725,967,accused
375,979,517,accused
376,979,561,accused
377,5183,716,accused
378,5183,1137,accused
379,5183,685,accused
380,2840,215,accused
381,888,144,accused
382,902,1092,accused
383,66,36,accused
384,5185,307,accused
385,4570,927,accused
386,643,1065,accused
387,643,418,accused
388,4043,205,accused
389,4043,62,accused
390,4199,1060,accused
391,1622,448,accused
392,1622,193,accused
393,1622,294,accused
394,642,290,accused
395,642,1026,accused
396,1869,537,accused
397,2704,1120,accused
398,2704,1124,accused
399,3757,982,accused
400,3757,155,accused
401,3757,20,accused
402,582,598,accused
403,582,76,accused
404,5070,1139,accused
405,5070,109,accused
406,482,780,accused
407,4842,1064,accused
408,4842,159,accused
409,1615,509,accused
410,1615,775,accused
411,3358,1161,accused
412,3484,432,accused
413,905,880,accused
414,905,1174,accused
415,3965,637,accused
416,3965,883,accused
417,3355,1154,accused
418,3355,294,accused
419,2954,1072,accused
420,4155,106,accused
421,4155,958,accused
422,4155,435,accused
423,4156,180,accused
424,703,117,accused
425,703,985,accused
426,4308,264,accused
427,4308,747,accused
428,4179,265,accused
429,1966,830,accused
430,3813,58,accused
431,3813,747,accused
432,3095,143,accused
433,177,26,accused
434,3449,975,accused
435,3449,749,accused
436,3449,1063,accused
437,555,299,accused
438,555,981,accused
439,555,261,accused
440,3692,658,accused
441,3692,459,accused
442,3692,130,accused
443,634,685,accused
444,634,1035,accused
445,1084,991,accused
446,1084,421,accused
447,2912,241,accused
448,2912,1163,accused
449,2796,982,accused
450,2796,828,accused
451,2796,900,accused
452,454,386,accused
453,454,985,accused
454,5478,906,accused
455,5478,1159,accused
456,5478,830,accused
457,2820,1138,accused
458,2820,81,accused
459,4431,251,accused
460,2176,1182,accused
461,2176,1181,accused
462,2176,514,accused
463,4700,757,accused
464,4700,68,accused
465,4700,181,accused
466,1604,690,accused
467,4993,358,accused
468,4993,404,accused
469,956,945,accused
470,956,75,accused
471,956,1111,accused
472,3922,891,accused
473,4388,755,accused
474,1308,640,accused
475,1308,633,accused
476,1308,150,accused
477,3433,971,accused
478,3433,1004,accused
479,2180,601,accused
480,2180,694,accused
481,478,565,accused
482,478,249,accused
483,478,1027,accused
484,4481,1056,accused
485,4481,11,accused
486,4481,1110,accused
487,1616,1074,accused
488,1616,127,accused
489,1616,396,accused
490,2210,436,accused
491,2239,1079,accused
492,2239,134,accused
493,2514,727,accused
494,2514,266,accused
495,1697,472,accused
496,1697,136,accused
497,2250,720,accused
498,2250,659,accused
499,2250,284,accused
500,504,14,accused
501,504,629,accused
502,1500,955,accused
503,4240,975,accused
504,4276,622,accused
505,4276,325,accused
506,2744,408,accused
507,2744,512,accused
508,2744,273,accused
509,2563,694,accused
510,4863,828,accused
511,4863,427,accused
512,4863,82,accused
513,4870,258,accused
514,696,1075,accused
515,696,879,accused
516,696,954,accused
517,463,788,accused
518,463,47,accused
519,4188,1088,accused
520,4188,1067,accused
521,3742,282,accused
522,3708,234,accused
523,3708,899,accused
524,3708,649,accused
525,887,82,accused
526,5386,952,accused
527,5386,134,accused
528,5386,1095,accused
529,2571,799,accused
530,2571,708,accused
531,2571,148,accused
532,3578,1081,accused
533,3096,833,accused
534,3096,918,accused
535,2024,915,accused
536,2568,1123,accused
537,2568,797,accused
538,4013,774,accused
539,4013,608,accused
540,4013,797,accused
541,4767,316,accused
542,9,203,accused
543,9,352,accused
544,9,925,accused
545,5410,527,accused
546,5410,251,accused
547,4158,656,accused
548,4158,1050,accused
549,562,268,accused
550,562,452,accused
551,562,134,accused
552,4416,989,accused
553,4416,71,accused
554,3475,584,accused
555,3475,244,accused
556,4259,744,accused
557,4259,853,accused
558,4259,262,accused
559,1654,423,accused
560,1324,485,accused
561,1324,226,accused
562,1324,823,accused
563,500,97,accused
564,500,72,accused
565,79,629,accused
566,3832,121,accused
567,3832,1198,accused
568,3832,521,accused
569,1671,733,accused
570,4535,1001,accused
571,3218,302,accused
572,3218,71,accused
573,2695,241,accused
574,2695,446,accused
575,2695,107,accused
576,2375,774,accused
577,2375,842,accused
578,2375,470,accused
579,1912,403,accused
580,5495,318,accused
581,5495,852,accused
582,5495,496,accused
583,28,1148,accused
584,28,21,accused
585,28,860,accused
586,865,480,accused
587,865,1018,accused
588,865,136,accused
589,1004,533,accused
590,1004,303,accused
591,1004,565,accused
592,1083,301,accused
593,1083,723,accused
594,1083,1001,accused
595,3225,252,accused
596,3225,340,accused
597,3225,387,accused
598,4874,241,accused
599,4794,60,accused
600,4794,408,accused
601,4794,106,accused
602,1465,379,accused
603,1465,762,accused
604,1465,825,accused
605,4302,164,accused
606,4991,45,accused
607,3761,717,accused
608,1118,1043,accused
609,1093,114,accused
610,2148,846,accused
611,4687,1002,accused
612,3646,346,accused
613,3646,1051,accused
614,3646,512,accused
615,3339,166,accused
616,739,299,accused
617,739,421,accused
618,5004,978,accused
619,5004,1023,accused
620,5004,1059,accused
621,1795,364,accused
622,2542,328,accused
623,4383,885,accused
624,4383,694,accused
625,4051,979,accused
626,4051,869,accused
627,3886,664,accused
628,3126,642,accused
629,358,132,accused
630,792,47,accused
631,792,773,accused
632,1818,158,accused
633,1818,30,accused
634,1818,532,accused
635,835,580,accused
636,835,659,accused
637,835,692,accused
638,183,51,accused
639,183,1173,accused
640,183,522,accused
641,5120,554,accused
642,4369,769,accused
643,4369,199,accused
644,3505,835,accused
645,3505,682,accused
646,3505,507,accused
647,1079,77,accused
648,1079,646,accused
649,2139,965,accused
650,2139,1062,accused
651,2139,481,accused
652,2979,348,accused
653,1617,780,accused
654,1617,904,accused
655,1617,901,accused
656,650,1164,accused
657,1011,611,accused
658,1011,301,accused
659,2573,136,accused
660,2573,1017,accused
661,4035,727,accused
662,871,187,accused
663,871,322,accused
664,871,248,accused
665,4465,718,accused
666,4465,276,accused
667,1142,512,accused
668,1142,3,accused
669,3200,418,accused
670,3200,27,accused
671,3200,210,accused
672,2750,917,accused
673,2750,881,accused
674,1102,141,accused
675,1478,372,accused
676,3736,789,accused
677,958,995,accused
678,77,871,accused
679,77,243,accused
680,77,100,accused
681,3297,1171,accused
682,3297,799,accused
683,3297,966,accused
684,4343,962,accused
685,4343,899,accused
686,2130,687,accused
687,2130,417,accused
688,2130,629,accused
689,3353,477,accused
690,3467,441,accused
691,3467,623,accused
692,3467,1114,accused
693,5336,905,accused
694,2928,1110,accused
695,2928,700,accused
696,3420,999,accused
697,3420,171,accused
698,3000,655,accused
699,3000,685,accused
700,4438,1179,accused
701,4438,771,accused
702,2050,310,accused
703,2050,537,accused
704,267,477,accused
705,267,219,accused
706,2323,207,accused
707,2323,667,accused
708,2323,1092,accused
709,1505,4,accused
710,1505,404,accused
711,1505,327,accused
712,4746,402,accused
713,4746,107,accused
714,688,602,accused
715,688,1029,accused
716,688,687,accused
717,510,518,accused
718,510,48,accused
719,510,752,accused
720,1762,1153,accused
721,3626,30,accused
722,3626,479,accused
723,3626,881,accused
724,2188,489,accused
725,2188,422,accused
726,2188,375,accused
727,4777,202,accused
728,4777,701,accused
729,3697,1141,accused
730,3697,1199,accused
731,3697,817,accused
732,1586,480,accused
733,1586,124,accused
734,3476,281,accused
735,2453,362,accused
736,2453,1066,accused
737,2453,210,accused
738,2975,1045,accused
739,2975,758,accused
740,2975,1094,accused
741,3400,1161,accused
742,3400,694,accused
743,4061,518,accused
744,604,918,accused
745,604,435,accused
746,604,566,accused
747,5268,1057,accused
748,5268,892,accused
749,645,1127,accused
750,645,971,accused
751,645,125,accused
752,1326,588,accused
753,5141,273,accused
754,4983,82,accused
755,4983,754,accused
756,4983,767,accused
757,4525,321,accused
758,4525,72,accused
759,3652,480,accused
760,3544,1075,accused
761,3544,107,accused
762,2465,560,accused
763,2465,452,accused
764,2465,642,accused
765,613,504,accused
766,613,1116,accused
767,613,361,accused
768,2634,325,accused
769,2882,163,accused
770,2882,336,accused
771,3885,517,accused
772,3885,158,accused
773,3885,143,accused
774,1116,5,accused
775,1116,221,accused
776,993,116,accused
777,2032,790,accused
778,2032,820,accused
779,536,294,accused
780,5089,310,accused
781,5089,1018,accused
782,5089,257,accused
783,681,571,accused
784,681,931,accused
785,2028,1191,accused
786,4774,747,accused
787,4774,28,accused
788,3101,581,accused
789,3101,1163,accused
790,4305,731,accused
791,4305,273,accused
792,4305,891,accused
793,1981,747,accused
794,1981,682,accused
795,1981,910,accused
796,5407,836,accused
797,5407,1053,accused
798,392,514,accused
799,1383,859,accused
800,4110,709,accused
801,4110,500,accused
802,1310,517,accused
803,4725,570,accused
804,5144,418,accused
805,3548,921,accused
806,3548,20,accused
807,3548,974,accused
808,3980,440,accused
809,3980,466,accused
810,3980,721,accused
811,1446,361,accused
812,1446,586,accused
813,1446,343,accused
814,1464,514,accused
815,134,266,accused
816,134,506,accused
817,134,309,accused
818,4058,199,accused
819,4058,966,accused
820,4058,129,accused
821,691,997,accused
822,629,251,accused
823,629,1118,accused
824,629,884,accused
825,1765,498,accused
826,1765,1114,accused
827,1765,433,accused
828,2998,704,accused
829,2998,534,accused
830,2998,392,accused
831,228,1023,accused
832,228,160,accused
833,1864,584,accused
834,1548,1039,accused
835,3333,754,accused
836,3333,1132,accused
837,3381,14,accused
838,3381,516,accused
839,3381,190,accused
840,4255,234,accused
841,4255,1121,accused
842,4255,945,accused
843,4836,629,accused
844,2355,733,accused
845,2355,21,accused
846,4984,288,accused
847,4984,388,accused
848,4984,505,accused
849,2360,746,accused
850,2360,1161,accused
851,4955,501,accused
852,4955,1133,accused
853,4955,1115,accused
854,5476,403,accused
855,4052,1068,accused
856,4592,471,accused
857,4592,669,accused
858,1685,669,accused
859,1685,1126,accused
860,1685,331,accused
861,3493,1200,accused
862,3493,1088,accused
863,3493,696,accused
864,3897,139,accused
865,3897,580,accused
866,3897,1060,accused
867,3943,446,accused
868,3943,224,accused
869,3943,30,accused
870,2287,1000,accused
871,2287,562,accused
872,2428,375,accused
873,2428,948,accused
874,4017,298,accused
875,1537,949,accused
876,1387,1074,accused
877,5219,573,accused
878,5219,374,accused
879,2718,164,accused
880,2718,995,accused
881,2718,893,accused
882,3700,579,accused
883,3700,449,accused
884,3700,694,accused
885,937,865,accused
886,937,440,accused
887,937,401,accused
888,4689,1001,accused
889,4689,1173,accused
890,4689,491,accused
891,2706,664,accused
892,2706,826,accused
893,2706,20,accused
894,2995,19,accused
895,2223,881,accused
896,4634,223,accused
897,3565,1010,accused
898,3565,1158,accused
899,3565,959,accused
900,4425,933,accused
901,2073,918,accused
902,2073,444,accused
903,2073,205,accused
904,5079,355,accused
905,1289,468,accused
906,1289,865,accused
907,3741,373,accused
908,3293,1066,accused
909,3293,579,accused
910,348,19,accused
911,2135,58,accused
912,566,1016,accused
913,1426,140,accused
914,1426,1137,accused
915,1426,830,accused
916,4452,968,accused
917,4452,30,accused
918,760,164,accused
919,760,1192,accused
920,760,660,accused
921,3918,518,accused
922,3918,182,accused
923,4096,1040,accused
924,4096,525,accused
925,5299,428,accused
926,5299,799,accused
927,3982,152,accused
928,3982,80,accused
929,3982,716,accused
930,5199,634,accused
931,3156,602,accused
932,4800,1168,accused
933,4800,375,accused
934,4834,435,accused
935,4834,86,accused
936,4834,1106,accused
937,2349,965,accused
938,2226,476,accused
939,2226,554,accused
940,2226,726,accused
941,2540,460,accused
942,2540,55,accused
943,1518,346,accused
944,1518,796,accused
945,4596,661,accused
946,4596,511,accused
947,1542,769,accused
948,1542,270,accused
949,1542,650,accused
950,4773,1158,accused
951,4773,161,accused
952,4773,903,accused
953,5115,374,accused
954,5115,985,accused
955,5115,202,accused
956,1747,285,accused
957,1747,927,accused
958,1423,331,accused
959,2229,296,accused
960,2229,120,accused
961,2229,374,accused
962,4039,836,accused
963,4039,48,accused
964,329,395,accused
965,329,1124,accused
966,5434,213,accused
967,5196,60,accused
968,5196,736,accused
969,1373,657,accused
970,4792,930,accused
971,3044,751,accused
972,3044,637,accused
973,3044,365,accused
974,2640,410,accused
975,2222,693,accused
976,2222,970,accused
977,2222,809,accused
978,3846,537,accused
979,946,733,accused
980,946,832,accused
981,1354,1124,accused
982,1354,621,accused
983,1354,452,accused
984,407,352,accused
985,299,173,accused
986,3613,836,accused
987,1901,699,accused
988,1901,83,accused
989,723,485,accused
990,723,20,accused
991,3137,14,accused
992,4552,830,accused
993,350,387,accused
994,350,321,accused
995,4398,46,accused
996,359,304,accused
997,359,571,accused
998,359,953,accused
999,3119,1069,accused
1000,4593,648,accused
1001,4593,100,accused
1002,1485,989,accused
1003,2212,41,accused
1004,1156,289,accused
1005,1156,110,accused
1006,1156,46,accused
1007,2009,1127,accused
1008,2009,907,accused
1009,2009,662,accused
1010,4918,415,accused
1011,3883,610,accused
1012,3587,628,accused
1013,3587,450,accused
1014,3210,940,accused
1015,3948,276,accused
1016,2621,893,accused
1017,1623,1065,accused
1018,1623,439,accused
1019,1623,736,accused
1020,1042,510,accused
1021,1042,325,accused
1022,4652,279,accused
1023,4652,27,accused
1024,4652,1067,accused
1025,4641,937,accused
1026,4641,1186,accused
1027,4641,1182,accused
1028,4395,514,accused
1029,4395,1140,accused
1030,1819,517,accused
1031,4732,158,accused
1032,4732,579,accused
1033,4732,291,accused
1034,829,245,accused
1035,829,917,accused
1036,829,722,accused
1037,4514,842,accused
1038,3936,713,accused
1039,3936,67,accused
1040,2790,857,accused
1041,4975,1055,accused
1042,4975,251,accused
1043,4975,733,accused
1044,5274,878,accused
1045,5274,638,accused
1046,420,441,accused
1047,420,298,accused
1048,420,922,accused
1049,2971,1037,accused
1050,4114,43,accused
1051,4338,250,accused
1052,4338,944,accused
1053,4338,118,accused
1054,2463,832,accused
1055,2463,694,accused
1056,2463,681,accused
1057,960,592,accused
1058,960,78,accused
1059,4783,1026,accused
1060,4783,687,accused
1061,4783,23,accused
1062,2539,333,accused
1063,4201,1175,accused
1064,1503,1065,accused
1065,2259,1065,accused
1066,2259,612,accused
1067,2259,1142,accused
1068,5158,836,accused
1069,2422,584,accused
1070,945,1128,accused
1071,945,1023,accused
1072,547,625,accused
1073,4334,1066,accused
1074,5254,473,accused
1075,5254,608,accused
1076,33,996,accused
1077,1904,293,accused
1078,1904,718,accused
1079,2209,1039,accused
1080,3288,577,accused
1081,3702,430,accused
1082,3702,351,accused
1083,5491,730,accused
1084,5491,667,accused
1085,5491,917,accused
1086,148,1084,accused
1087,148,470,accused
1088,3463,752,accused
1089,3463,1009,accused
1090,878,418,accused
1091,878,14,accused
1092,3462,562,accused
1093,3462,515,accused
1094,4932,849,accused
1095,1760,1025,accused
1096,1760,1137,accused
1097,1760,573,accused
1098,4423,579,accused
1099,2174,928,accused
1100,4018,136,accused
1101,4018,1110,accused
1102,4018,465,accused
1103,1955,1076,accused
1104,1955,1028,accused
1105,1955,1094,accused
1106,5247,122,accused
1107,5247,371,accused
1108,5247,889,accused
1109,598,242,accused
1110,241,562,accused
1111,3247,1074,accused
1112,2010,1037,accused
1113,2010,277,accused
1114,4082,1016,accused
1115,4082,971,accused
1116,4082,947,accused
1117,37,286,accused
1118,37,497,accused
1119,3599,992,accused
1120,3599,964,accused
1121,3599,421,accused
1122,1377,298,accused
1123,1377,239,accused
1124,578,966,accused
1125,578,329,accused
1126,4605,40,accused
1127,3049,458,accused
1128,3049,812,accused
1129,3049,184,accused
1130,300,604,accused
1131,300,384,accused
1132,5038,109,accused
1133,5038,1097,accused
1134,5038,893,accused
1135,1047,1191,accused
1136,1047,170,accused
1137,1047,1071,accused
1138,1122,1104,accused
1139,3222,614,accused
1140,532,269,accused
1141,532,921,accused
1142,3274,1016,accused
1143,3274,20,accused
1144,2033,228,accused
1145,2513,411,accused
1146,377,328,accused
1147,2816,162,accused
1148,2816,141,accused
1149,2816,804,accused
1150,2310,325,accused
1151,2310,985,accused
1152,2310,534,accused
1153,3193,477,accused
1154,2341,459,accused
1155,2341,876,accused
1156,2341,529,accused
1157,4157,147,accused
1158,4157,821,accused
1159,4157,218,accused
1160,2677,374,accused
1161,2677,879,accused
1162,167,454,accused
1163,167,148,accused
1164,167,62,accused
1165,917,549,accused
1166,3900,723,accused
1167,3900,557,accused
1168,3900,24,accused
1169,2845,532,accused
1170,2845,587,accused
1171,1397,47,accused
1172,1397,452,accused
1173,1397,1138,accused
1174,2535,1018,accused
1175,502,549,accused
1176,65,46,accused
1177,65,972,accused
1178,592,292,accused
1179,592,1078,accused
1180,592,758,accused
1181,3722,991,accused
1182,5157,408,accused
1183,2967,911,accused
1184,202,103,accused
1185,202,947,accused
1186,2400,833,accused
1187,4851,1092,accused
1188,4851,749,accused
1189,4851,1026,accused
1190,1951,208,accused
1191,1951,1068,accused
1192,2668,648,accused
1193,2668,436,accused
1194,3686,438,accused
1195,3686,1190,accused
1196,4491,1101,accused
1197,4491,1008,accused
1198,944,521,accused
1199,944,418,accused
1200,2364,118,accused
1201,2364,412,accused
1202,2364,521,accused
1203,767,1198,accused
1204,1240,629,accused
1205,3865,431,accused
1206,3865,14,accused
1207,3978,1029,accused
1208,3978,263,accused
1209,196,1086,accused
1210,196,799,accused
1211,621,137,accused
1212,2956,347,accused
1213,2956,1129,accused
1214,2956,798,accused
1215,1964,889,accused
1216,1964,828,accused
1217,5143,49,accused
1218,5143,1007,accused
1219,5143,399,accused
1220,4267,941,accused
1221,4267,255,accused
1222,4055,939,accused
1223,1108,242,accused
1224,1108,217,accused
1225,1108,531,accused
1226,4415,976,accused
1227,1956,546,accused
1228,4803,601,accused
1229,4803,316,accused
1230,1380,914,accused
1231,4868,999,accused
1232,4868,1175,accused
1233,5404,933,accused
1234,5404,715,accused
1235,1263,1148,accused
1236,1263,189,accused
1237,1263,136,accused
1238,1973,950,accused
1239,1973,905,accused
1240,4115,345,accused
1241,4115,475,accused
1242,4115,813,accused
1243,1014,789,accused
1244,1014,836,accused
1245,1014,508,accused
1246,659,876,accused
1247,659,246,accused
1248,4533,11,accused
1249,5075,1011,accused
1250,5075,1018,accused
1251,2278,518,accused
1252,2278,117,accused
1253,371,63,accused
1254,371,811,accused
1255,5279,715,accused
1256,5279,175,accused
1257,5279,255,accused
1258,5424,765,accused
1259,2065,364,accused
1260,2065,289,accused
1261,1831,255,accused
1262,1831,389,accused
1263,1175,491,accused
1264,1175,907,accused
1265,3168,546,accused
1266,1348,449,accused
1267,1348,408,accused
1268,4396,696,accused
1269,4396,111,accused
1270,4396,310,accused
1271,2069,1148,accused
1272,2069,792,accused
1273,2069,322,accused
1274,1737,414,accused
1275,1737,222,accused
1276,1737,542,accused
1277,1370,70,accused
1278,1833,924,accused
1279,3985,642,accused
1280,3985,167,accused
1281,3985,614,accused
1282,3150,137,accused
1283,340,50,accused
1284,1745,997,accused
1285,1745,472,accused
1286,5475,359,accused
1287,5475,483,accused
1288,3089,636,accused
1289,3089,951,accused
1290,5002,224,accused
1291,5002,747,accused
1292,1136,1197,accused
1293,1136,979,accused
1294,1136,391,accused
1295,2288,20,accused
1296,2288,7,accused
1297,2288,1064,accused
1298,2241,1050,accused
1299,1193,187,accused
1300,1193,344,accused
1301,4926,842,accused
1302,4926,818,accused
1303,5078,1071,accused
1304,5078,775,accused
1305,5078,208,accused
1306,1411,781,accused
1307,1411,594,accused
1308,1411,724,accused
1309,1134,409,accused
1310,5059,252,accused
1311,5059,94,accused
1312,5332,618,accused
1313,5332,897,accused
1314,2348,629,accused
1315,2348,39,accused
1316,3923,938,accused
1317,1223,505,accused
1318,5496,541,accused
1319,2027,633,accused
1320,2007,757,accused
1321,1797,1165,accused
1322,1797,1098,accused
1323,2497,832,accused
1324,2497,573,accused
1325,2497,537,accused
1326,1934,404,accused
1327,1934,679,accused
1328,1934,336,accused
1329,1300,1025,accused
1330,1300,449,accused
1331,3103,734,accused
1332,3103,698,accused
1333,3103,640,accused
1334,361,116,accused
1335,361,22,accused
1336,361,587,accused
1337,1777,1122,accused
1338,1777,942,accused
1339,1477,204,accused
1340,5123,1063,accused
1341,1229,940,accused
1342,3650,205,accused
1343,5067,1104,accused
1344,3076,1065,accused
1345,3076,3,accused
1346,822,212,accused
1347,822,761,accused
1348,822,398,accused
1349,4087,283,accused
1350,4087,920,accused
1351,2900,218,accused
1352,2900,294,accused
1353,2900,531,accused
1354,4323,395,accused
1355,4323,1143,accused
1356,4323,591,accused
1357,1755,788,accused
1358,2501,639,accused
1359,2230,536,accused
1360,587,797,accused
1361,587,60,accused
1362,3739,1187,accused
1363,3739,341,accused
